ticket_id,date_submitted,customer_id,original_priority,suggested_priority,original_category,suggested_category,suggested_subcategory,status,recurrence_flag,prior_tickets,explanation,satisfaction_score,agent_assigned,resolution_time_hours
TKT-034,2024-01-30,CUST-1155,High,Critical,Model Output,Model Output,Inconsistency,Escalated,True,"['TKT-011', 'TKT-019', 'TKT-048', 'TKT-005']","This is the fourth report of the same inconsistency issue with documented history (TKT-005, TKT-011, TKT-019) and customer threatening cancellation. Requires immediate engineering escalation and resolution plan to retain customer.",,Tom W.,
TKT-035,2024-01-31,CUST-5502,High,Critical,Model Output,Model Output,Hallucination,Open,True,['TKT-045'],Model hallucinating fictional reviews going live to e-commerce platform next week creates immediate legal and reputational risk. This is a production blocker requiring urgent engineering intervention before deployment.,,,
TKT-036,2024-02-01,CUST-4892,,Low,Integration,Integration,Webhook,Resolved,True,['TKT-022'],Feature request for webhook notifications that was successfully resolved with satisfied customer (5.0 score). This is an onboarding/feature clarification with no ongoing issues.,5.0,Sarah J.,1.5
TKT-037,2024-02-01,CUST-2234,Critical,Critical,Model Output,Model Output,Bias,Escalated,True,"['TKT-007', 'TKT-021']","Recurring bias issue (TKT-007, TKT-021) with legal complaints from end users and three weeks without resolution represents serious legal exposure and customer harm. Immediate executive and legal involvement required.",,Marcus T.,
TKT-038,2024-02-03,CUST-8801,,Critical,Performance,Performance,Latency,Open,True,['TKT-049'],"20+ second response times render platform completely unusable, constituting a production outage. This is a critical service degradation requiring immediate incident response and root cause analysis.",,,
TKT-039,2024-02-04,CUST-3310,High,High,Account,Account,Cancellation,Open,True,"['TKT-009', 'TKT-024']","Customer actively cancelling subscription referencing prior unresolved issues (TKT-009, TKT-024) and requesting data export. Requires immediate processing to prevent data loss and gather churn feedback.",,,
TKT-040,2024-02-04,CUST-9921,Low,Low,Model Output,Model Output,Quality,Resolved,True,['TKT-028'],Feature/capability question about tone variation resolved with satisfied customer (4.0 score). This is a single product inquiry with no operational impact.,4.0,Priya K.,2.0
TKT-041,2024-02-05,CUST-1122,,Low,Integration,Integration,Authentication,Resolved,False,[],Security best practice question successfully resolved with satisfied customer (5.0 score). This is an onboarding/documentation query with no system issues.,5.0,Tom W.,1.0
TKT-042,2024-02-05,CUST-6671,Medium,Medium,Model Output,Model Output,Hallucination,Resolved,True,['TKT-030'],"Customer reports model hallucinating features during demos, causing reputational damage. Low satisfaction score (2.0) despite resolution suggests underlying issue may persist; recommend root cause analysis and proactive outreach.",2.0,Sarah J.,5.0
TKT-043,2024-02-06,CUST-7743,,Low,Billing,Billing,Overage,Resolved,False,[],Standard billing inquiry regarding unexpected overage charges. Customer satisfied (4.0 score) and ticket resolved; routine billing query requiring usage audit and explanation.,4.0,Marcus T.,1.0
TKT-044,2024-02-07,CUST-4421,High,Critical,Safety,Safety,Content Filter,Open,True,"['TKT-029', 'TKT-017']","Safety-critical content filters not configured for enterprise customer 3 weeks after signing agreement, with recurring references (TKT-017, TKT-029). This is a security/compliance risk exposure requiring immediate escalation and configuration.",,,
TKT-045,2024-02-07,CUST-5502,High,Critical,Model Output,Model Output,Hallucination,Open,True,['TKT-035'],Known hallucination bug now in production affecting live customer deployment. This creates data quality and reputational risk; requires immediate incident response and potential customer communication.,,,
TKT-046,2024-02-10,CUST-3344,,High,Model Output,Model Output,Quality,Resolved,False,[],"Systemic quality degradation for non-English (German) text impacts customer segment. Despite resolution mark, this indicates a product deficiency affecting market expansion; recommend investigation for pattern across other non-English languages.",4.0,Priya K.,3.5
TKT-047,2024-02-10,CUST-2891,Medium,Medium,Integration,Integration,Api Error,Resolved,True,"['TKT-013', 'TKT-002']","Intermittent 500 errors occurring twice daily represent production reliability issue. While resolved and customer satisfied, recurring pattern warrants infrastructure review to prevent escalation.",5.0,Tom W.,2.0
TKT-048,2024-02-11,CUST-1155,Critical,Critical,Model Output,Model Output,Inconsistency,Escalated,True,"['TKT-011', 'TKT-019', 'TKT-034', 'TKT-005']","Fifth occurrence of the same issue (TKT-005, TKT-011, TKT-019, TKT-034) with formal customer complaint and SLA compensation request. This is chronic product failure with legal/financial exposure requiring immediate escalation and resolution strategy.",,Sarah J.,
TKT-049,2024-02-12,CUST-8801,High,Critical,Performance,Performance,Latency,Open,True,['TKT-038'],Latency degrading to 30+ seconds with no response to prior ticket (TKT-038) indicates production is becoming unusable. This is blocking customer operations and requires emergency response and status update.,,,
TKT-050,2024-02-12,CUST-9921,,Low,Onboarding,Onboarding,Training,Resolved,True,['TKT-018'],Standard onboarding training request from satisfied customer (5.0 score). Routine administrative request to schedule training session; can be handled through standard onboarding process.,5.0,Marcus T.,2.0
